"Test Code","Local Test Name","Audit Result","Bag Temperature","Quest Transport Temperature","Special Labeling","Source"
"457","Ferritin","Verified current MASTER record","Room Temperature","Room temperature","","Quest MASTER directory verified 2026-09-02"
"466","Folate, Serum","Verified current MASTER record","Room Temperature","Room temperature","","Quest MASTER directory verified 2026-09-02"
"467","Folate, RBC","Verified current MASTER record","Room Temperature","Room temperature","","Quest MASTER directory verified 2026-09-02"
"470","FSH","Verified current MASTER record","Room Temperature","Room temperature","","Quest MASTER directory verified 2026-09-02"
"482","GGT","Verified current MASTER record","Room Temperature","Room temperature","","Quest MASTER directory verified 2026-09-02"
"496","Hgb A1c","Verified current MASTER record","Room Temperature","Room temperature","","Quest MASTER directory verified 2026-09-02"
"498","Hepatitis B Surface Antigen with Reflex Confirmation","Verified current MASTER record","Room Temperature","Room temperature","","Quest MASTER directory verified 2026-09-02"
"528","HLA-B27 Antigen","Verified current MASTER record","Room Temperature","Room temperature","","Quest MASTER directory verified 2026-09-02"
"539","IgA","Verified current MASTER record","Room Temperature","Room temperature","","Quest MASTER directory verified 2026-09-02"
"542","IgE","Verified current MASTER record","Room Temperature","Room temperature","","Quest MASTER directory verified 2026-09-02"
"549","Immunofixation, Serum","Verified current MASTER record","Room Temperature","Room temperature","","Quest MASTER directory verified 2026-09-02"
"561","Insulin","Verified current MASTER record","Refrigerated","Refrigerated (cold packs)","","Quest MASTER directory verified 2026-09-02"
"571","Iron, total","Verified current MASTER record","Room Temperature","Room temperature","","Quest MASTER directory verified 2026-09-02"
"593","Lactate Dehydrogenase (LDH)","Verified current MASTER record","Room Temperature","Room temperature","","Quest MASTER directory verified 2026-09-02"
"599","Lead (Venous)","Verified current MASTER record","Room Temperature","Room temperature","","Quest MASTER directory verified 2026-09-02"
"606","Lipase","Verified current MASTER record","Room Temperature","Room temperature","","Quest MASTER directory verified 2026-09-02"
"615","Luteinizing Hormone (LH)","Verified current MASTER record","Room Temperature","Room temperature","","Quest MASTER directory verified 2026-09-02"
"622","Magnesium","Verified current MASTER record","Room Temperature","Room temperature","","Quest MASTER directory verified 2026-09-02"
"623","Magnesium, RBC","Verified current MASTER record","Refrigerated","Refrigerated (cold packs)","","Quest MASTER directory verified 2026-09-02"
"636","Mercury","Verified current MASTER record","Refrigerated","Refrigerated (cold packs)","","Quest MASTER directory verified 2026-09-02"
"660","Myoglobin, Serum","Verified current MASTER record","Room Temperature","Room temperature","","Quest MASTER directory verified 2026-09-02"
"718","Phosphate (phosphorus)","Verified current MASTER record","Room Temperature","Room temperature","","Quest MASTER directory verified 2026-09-02"
"745","Progesterone, Immunoassay","Verified current MASTER record","Room Temperature","Room temperature","","Quest MASTER directory verified 2026-09-02"
"746","Prolactin","Verified current MASTER record","Room Temperature","Room temperature","","Quest MASTER directory verified 2026-09-02"
"747","Protein, Total and Protein Electrophoresis (SPEP)","Verified current MASTER record","Room Temperature","Room temperature","","Quest MASTER directory verified 2026-09-02"
"754","Protein, Total Serum","Verified current MASTER record","Room Temperature","Room temperature","","Quest MASTER directory verified 2026-09-02"
"793","Reticulocyte Count","Verified current MASTER record","Room Temperature","Room temperature","","Quest MASTER directory verified 2026-09-02"
"799","RPR with reflex titer (monitor)","Verified current MASTER record","Room Temperature","Room temperature","","Quest MASTER directory verified 2026-09-02"
"802","Rubella iGG","Verified current MASTER record","Room Temperature","Room temperature","","Quest MASTER directory verified 2026-09-02"
"809","ESR - Sed Rate, Western (STAT)","Verified current MASTER record","Room Temperature","Room temperature","","Quest MASTER directory verified 2026-09-02"
"825","Sickle Cell Screen","Verified current MASTER record","Room Temperature","Room temperature","","Quest MASTER directory verified 2026-09-02"
"859","T3, Total","Verified current MASTER record","Room Temperature","Room temperature","","Quest MASTER directory verified 2026-09-02"
"866","T4- free","Verified current MASTER record","Room Temperature","Room temperature","","Quest MASTER directory verified 2026-09-02"
"867","T4 Total","Verified current MASTER record","Room Temperature","Room temperature","","Quest MASTER directory verified 2026-09-02"
"873","Testosterone, Total, Males (Adult), Immunoassay","Verified current MASTER record","Room Temperature","Room temperature","","Quest MASTER directory verified 2026-09-02"
"891","Transferrin","Verified current MASTER record","Room Temperature","Room temperature","","Quest MASTER directory verified 2026-09-02"
"899","TSH","Verified current MASTER record","Room Temperature","Room temperature","","Quest MASTER directory verified 2026-09-02"
"905","Uric Acid","Verified current MASTER record","Room Temperature","Room temperature","","Quest MASTER directory verified 2026-09-02"
"927","B12","Verified current MASTER record","Room Temperature","Room temperature","","Quest MASTER directory verified 2026-09-02"
"945","Zinc","Verified current MASTER record","Room Temperature","Room temperature","","Quest MASTER directory verified 2026-09-02"
"964","Measles Antibody (IgG), Immune Status","Verified current MASTER record","Room Temperature","Room temperature","","Quest MASTER directory verified 2026-09-02"
"1759","CBC (H/H, RBC, indicies, RBC, PLT)","Verified current MASTER record","Room Temperature","Room temperature","","Quest MASTER directory verified 2026-09-02"
"3020","Urinalysis, Complete, with Reflex to Culture","Verified current MASTER record","Room Temperature","Preserved: Room temperature | Unpreserved: Refrigerated (cold packs)","","Quest MASTER directory verified 2026-09-02"
"3102","Mercury, RBCs","Verified current MASTER record","Refrigerated","Refrigerated (cold packs)","","Quest MASTER directory verified 2026-09-02"
"3481","Copper, RBC","Verified current MASTER record","Room Temperature","Room temperature","","Quest MASTER directory verified 2026-09-02"
"4021","Estradiol","Verified current MASTER record","Room Temperature","Room temperature","","Quest MASTER directory verified 2026-09-02"
"4418","Rheumatoid Factor","Verified current MASTER record","Room Temperature","Room temperature","","Quest MASTER directory verified 2026-09-02"
"4420","CRP","Verified current MASTER record","Room Temperature","Room temperature","","Quest MASTER directory verified 2026-09-02"
"4439","Varicella-Zoster Virus Antibody (IgG)","Verified current MASTER record","Room Temperature","Room temperature","","Quest MASTER directory verified 2026-09-02"
"4698","CA 19-9","Verified current MASTER record","Room Temperature","Room temperature","","Quest MASTER directory verified 2026-09-02"
"4847","Prealbumin","Verified current MASTER record","Room Temperature","Room temperature","","Quest MASTER directory verified 2026-09-02"
"4914","PT/INR and PTT (STAT)","Verified current MASTER record","Room Temperature","Room temperature","","Quest MASTER directory verified 2026-09-02"
"5059","Maternal Serum AFP (non-NY testing)","Verified current MASTER record","Room Temperature","Room temperature","","Quest MASTER directory verified 2026-09-02"
"5081","Thyroid Peroxidase Antibody - TPO","Verified current MASTER record","Room Temperature","Room temperature","","Quest MASTER directory verified 2026-09-02"
"5224","Apolipoprotein-B","Verified current MASTER record","Room Temperature","Room temperature","","Quest MASTER directory verified 2026-09-02"
"5259","Measles, Mumps, and Rubella (MMR) Antibodies (IgG) Panel, Immune Status","Verified current MASTER record","Room Temperature","Room temperature","","Quest MASTER directory verified 2026-09-02"
"5363","PSA total","Verified current MASTER record","Room Temperature","Room temperature","","Quest MASTER directory verified 2026-09-02"
"5616","Iron/ TIBC and Ferritin panel","Verified current MASTER record","Room Temperature","Room temperature","","Quest MASTER directory verified 2026-09-02"
"5704","Complement Component C3c and C4c","Verified current MASTER record","Refrigerated","Refrigerated (cold packs)","","Quest MASTER directory verified 2026-09-02"
"6296","Selenium, blood","Verified current MASTER record","Room Temperature","Room temperature","","Quest MASTER directory verified 2026-09-02"
"6354","Zinc, RBC","Verified current MASTER record","Room Temperature","Room temperature","","Quest MASTER directory verified 2026-09-02"
"6399","CBC w/ diff","Verified current MASTER record","Room Temperature","Room temperature","","Quest MASTER directory verified 2026-09-02"
"6421","EBV Panel","Verified current MASTER record","Room Temperature","Room temperature","","Quest MASTER directory verified 2026-09-02"
"6447","Herpes Simplex Virus 1 and 2 (IgG), Type-Specific Antibodies","MASTER record unavailable; verify active code/service area","Not specified","Current Quest MASTER record unavailable; verify active code and local service-area instructions","","Quest MASTER directory unavailable 2026-09-02"
"6517","Albumin, Random Urine with Creatinine","Verified current MASTER record","Room Temperature","Room temperature","","Quest MASTER directory verified 2026-09-02"
"1715","Protein, Total, Random Urine with Creatinine","Verified current MASTER record","Room Temperature","Room temperature","","Quest MASTER directory verified 2026-09-02"
"6631","Bilirubin, Total and Direct, Neonatal STAT","Verified current MASTER record","Room Temperature","Room temperature","","Quest MASTER directory verified 2026-09-02"
"6646","Lyme Disease Ab with Reflex to Blot (IgG, IgM)","Verified current MASTER record","Room Temperature","Room temperature","","Quest MASTER directory verified 2026-09-02"
"6732","Cytomegalovirus (CMV) IgG, IgM","Verified current MASTER record","Room Temperature","Room temperature","","Quest MASTER directory verified 2026-09-02"
"7065","B12 + folate panel","Verified current MASTER record","Room Temperature","Room temperature","","Quest MASTER directory verified 2026-09-02"
"7083","Immunoglobulins Panel, Serum (IgA, IgG, IgM)","Verified current MASTER record","Room Temperature","Room temperature","","Quest MASTER directory verified 2026-09-02"
"7105","Hepatitis B Immunity Panel","Verified current MASTER record","Room Temperature","Room temperature","","Quest MASTER directory verified 2026-09-02"
"7137","FSH and LH","Verified current MASTER record","Room Temperature","Room temperature","","Quest MASTER directory verified 2026-09-02"
"7260","Thyroid Peroxidase and Thyroglobulin Antibodies","Verified current MASTER record","Room Temperature","Room Temperature","","Quest MASTER directory verified 2026-09-02"
"7432","Cholesterol and HDL Cholesterol with Ratio","Verified current MASTER record","Room Temperature","Room temperature","","Quest MASTER directory verified 2026-09-02"
"7444","Thyroid panel with TSH","Verified current MASTER record","Room Temperature","Room temperature","","Quest MASTER directory verified 2026-09-02"
"7573","Iron, Total And Total Iron Binding Capacity (TIBC)","Verified current MASTER record","Room Temperature","Room temperature","","Quest MASTER directory verified 2026-09-02"
"7600","Lipid panel","Verified current MASTER record","Room Temperature","Room temperature","","Quest MASTER directory verified 2026-09-02"
"7788","ABO group and RH status","Verified current MASTER record","Room Temperature","Room temperature","","Quest MASTER directory verified 2026-09-02"
"7909","Urinalysis","Verified current MASTER record","Room Temperature","Preserved: Room temperature | Unpreserved: Refrigerated (cold packs)","","Quest MASTER directory verified 2026-09-02"
"8293","Direct LDL","Verified current MASTER record","Room Temperature","Room temperature","","Quest MASTER directory verified 2026-09-02"
"8396","HCG total quantitative","Verified current MASTER record","Room Temperature","Room temperature","","Quest MASTER directory verified 2026-09-02"
"8472","Hepatitis C Antibody with Reflex to HCV, RNA, Quantitative, Real-Time PCR","Verified current MASTER record","Room Temperature","Room temperature","","Quest MASTER directory verified 2026-09-02"
"8475","Hepatitis B Surface Antibody Immunity, Quantitative","Verified current MASTER record","Room Temperature","Room temperature","","Quest MASTER directory verified 2026-09-02"
"8579","Vancomycin, Trough","Verified current MASTER record","Room Temperature","Room temperature","","Quest MASTER directory verified 2026-09-02"
"8593","Lyme IgM and IgG Ab","Verified current MASTER record","Room Temperature","Room temperature","","Quest MASTER directory verified 2026-09-02"
"8636","Toxoplasma Antibodies (IgG, IgM)","Verified current MASTER record","Room Temperature","Room temperature","","Quest MASTER directory verified 2026-09-02"
"8659","D-Dimer, Quantitative","Verified current MASTER record","Room Temperature","Room temperature","","Quest MASTER directory verified 2026-09-02"
"8821","Tissue Transglutaminase (tTG) Antibody (IgA)","Verified current MASTER record","Room Temperature","Room temperature","","Quest MASTER directory verified 2026-09-02"
"8847","PT/INR (STAT)","Verified current MASTER record","Room Temperature","Room temperature","","Quest MASTER directory verified 2026-09-02"
"10120","SureSwab® Advanced Vaginitis Plus, TMA","Verified current MASTER record","Room Temperature","Room temperature","","Quest MASTER directory verified 2026-09-02"
"10124","HS CRP","Verified current MASTER record","Room Temperature","Room temperature","","Quest MASTER directory verified 2026-09-02"
"10165","BMP","Verified current MASTER record","Room Temperature","Room temperature","","Quest MASTER directory verified 2026-09-02"
"10189","Micronutrient, Vitamin B1 (Thiamine), Blood","Verified current MASTER record","Frozen","Frozen","","Quest MASTER directory verified 2026-09-02"
"10231","CMP","Verified current MASTER record","Room Temperature","Room temperature","","Quest MASTER directory verified 2026-09-02"
"10256","LFT/ Hepatic function panel","Verified current MASTER record","Room Temperature","Room temperature","","Quest MASTER directory verified 2026-09-02"
"10306","Hepatitis panel with reflex confirmatory titers","Verified current MASTER record","Room Temperature","Room temperature","","Quest MASTER directory verified 2026-09-02"
"10378","1,5-Anhydroglucitol (1,5-AG), Intermediate Glycemic Control","Verified current MASTER record","Room Temperature","Room temperature","","Quest MASTER directory verified 2026-09-02"
"10555","Alpha-Gal Panel","Verified current MASTER record","Room Temperature","Room temperature","","Quest MASTER directory verified 2026-09-02"
"11073","Tissue Transglutaminase (tTG) Antibodies (IgG, IgA)","Verified current MASTER record","Room Temperature","Room temperature","","Quest MASTER directory verified 2026-09-02"
"11173","Cyclic Citrullinated Peptide (CCP) Antibody (IgG)","Verified current MASTER record","Room Temperature","Room temperature","","Quest MASTER directory verified 2026-09-02"
"11188","Pro BNP N-terminal","Verified current MASTER record","Refrigerated","Refrigerated (cold packs)","","Quest MASTER directory verified 2026-09-02"
"11363","Chlamydia/Neisseria gonorrhoeae RNA, TMA, Urogenital","Verified current MASTER record","Room Temperature","Room temperature","","Quest MASTER directory verified 2026-09-02"
"13595","PrEP HIV-1/2 Antigen/Antibodies, 4th Generation, Reflex to Differentiation","Verified current MASTER record","Room Temperature","Room temperature","Patient identifier; submit only for HIV testing. If plasma is submitted, label it PLASMA.","Quest MASTER directory verified 2026-09-02"
"13600","PrEP HIV-1 RNA, Qualitative Real-Time PCR","Verified current MASTER record","Room Temperature","Room temperature","Patient identifier; submit only for HIV testing. If plasma is submitted, label it PLASMA.","Quest MASTER directory verified 2026-09-02"
"13660","PrEP HBV Triple Screen Panel with Reflexes","Verified current MASTER record","Room Temperature","Room temperature","","Quest MASTER directory verified 2026-09-02"
"13667","PrEP Hepatitis C Antibody with Reflex to HCV, RNA, Real-Time PCR","Verified current MASTER record","Room Temperature","Room temperature","","Quest MASTER directory verified 2026-09-02"
"13698","PrEP RPR (Diagnosis) with Reflex Titer and Treponema pallidum Antibody, IA","Verified current MASTER record","Room Temperature","Room temperature","","Quest MASTER directory verified 2026-09-02"
"13701","PrEP Chlamydia/Neisseria gonorrhoeae RNA, TMA, Urogenital","Verified current MASTER record","Room Temperature","Room temperature","","Quest MASTER directory verified 2026-09-02"
"13825","AD-Detect® Phosphorylated tau217(p-tau217), Plasma","Verified current MASTER record","Room Temperature","Room temperature","","Quest MASTER directory verified 2026-09-02"
"14505","Varicella-Zoster Virus Antibody (Immunity Screen), ACIF","Verified current MASTER record","Room Temperature","Room temperature","","Quest MASTER directory verified 2026-09-02"
"14596","Chromosome Analysis, Blood","Verified current MASTER record","Room Temperature","Room temperature","","Quest MASTER directory verified 2026-09-02"
"14693","Pancreatic Elastase-1, stool","Verified current MASTER record","Frozen","Frozen","","Quest MASTER directory verified 2026-09-02"
"14808","PSA, Post Prostatectomy","Verified current MASTER record","Refrigerated","Refrigerated (cold packs)","","Quest MASTER directory verified 2026-09-02"
"14852","Lipid Panel with Reflex to Direct LDL","Verified current MASTER record","Room Temperature","Room temperature","","Quest MASTER directory verified 2026-09-02"
"14966","Testosterone Free, total, bioavailable, Sex hormone BG","Verified current MASTER record","Room Temperature","Room temperature","","Quest MASTER directory verified 2026-09-02"
"15085","Hepatitis E Virus (HEV) Antibodies (IgG, IgM)","Verified current MASTER record","Room Temperature","Room temperature","","Quest MASTER directory verified 2026-09-02"
"15116","TPO Antibody Endpoint","Verified current MASTER record","Room Temperature","Room temperature","","Quest MASTER directory verified 2026-09-02"
"15447","Epstein-Barr Virus Antibody Panel","Verified current MASTER record","Room Temperature","Room temperature","","Quest MASTER directory verified 2026-09-02"
"15447","Epstein-Barr Virus Early Antigen D Antibody (IgG)","Verified current MASTER record","Room Temperature","Room temperature","","Quest MASTER directory verified 2026-09-02"
"15983","Testosterone, Total, MS","Verified current MASTER record","Room Temperature","Room temperature","","Quest MASTER directory verified 2026-09-02"
"16220","Tick-Borne Disease, Antibody Panel w/ Reflex to Titers","Verified current MASTER record","Refrigerated","Refrigerated (cold packs)","","Quest MASTER directory verified 2026-09-02"
"16265","Procalcitonin","Verified current MASTER record","Refrigerated","Refrigerated (cold packs)","","Quest MASTER directory verified 2026-09-02"
"16293","IGF-1","Verified current MASTER record","Refrigerated","Refrigerated (cold packs)","","Quest MASTER directory verified 2026-09-02"
"16558","Calcitriol 1,25-Dihydroxyvitamin D","Verified current MASTER record","Room Temperature","Room temperature","","Quest MASTER directory verified 2026-09-02"
"16599","Iodine, Serum/Plasma","Verified current MASTER record","Room Temperature","Room temperature","","Quest MASTER directory verified 2026-09-02"
"16796","Calprotectin, Stool","Verified current MASTER record","Frozen","Frozen","","Quest MASTER directory verified 2026-09-02"
"16802","Hemoglobin A1c with eAG","Verified current MASTER record","Room Temperature","Room temperature","","Quest MASTER directory verified 2026-09-02"
"17133","Selenium, RBC","Verified current MASTER record","Refrigerated","Refrigerated (cold packs)","","Quest MASTER directory verified 2026-09-02"
"17169","HSV 1 & 2 IgG","Verified current MASTER record","Room Temperature","Room temperature","","Quest MASTER directory verified 2026-09-02"
"17180","17-Hydroxyprogesterone","Verified current MASTER record","Refrigerated","Refrigerated (cold packs)","","Quest MASTER directory verified 2026-09-02"
"17182","Androstenedione","Verified current MASTER record","Room Temperature","Room temperature","","Quest MASTER directory verified 2026-09-02"
"17183","Progesterone, LC/MS","Verified current MASTER record","Refrigerated","Refrigerated (cold packs)","","Quest MASTER directory verified 2026-09-02"
"17306","Vit D, 25-OH","Verified current MASTER record","Room Temperature","Room temperature","","Quest MASTER directory verified 2026-09-02"
"17406","Collagen Type I C-Telopeptide (CTx)","Verified current MASTER record","Frozen","Frozen","","Quest MASTER directory verified 2026-09-02"
"17569","PSA, Total with Reflex to PSA, Free","Verified current MASTER record","Frozen","Frozen • Room temperature acceptable if received within 72 hours","","Quest MASTER directory verified 2026-09-02"
"17911","MTHFR - Methylenetetrahydrofolate Reductase DNA Mutation Analysis","Verified current MASTER record","Room Temperature","Room temperature","","Quest MASTER directory verified 2026-09-02"
"18944","Testosterone Free","Verified current MASTER record","Room Temperature","Room temperature","","Quest MASTER directory verified 2026-09-02"
"19826","Coenzyme Q10","Verified current MASTER record","Refrigerated","Refrigerated (cold packs)","","Quest MASTER directory verified 2026-09-02"
"19894","DHEA, (Dehydroepiandrosterone), Unconjugated","Verified current MASTER record","Frozen","Frozen","","Quest MASTER directory verified 2026-09-02"
"19955","Celiac Disease Comprehensive Panel","Verified current MASTER record","Room Temperature","Room temperature","","Quest MASTER directory verified 2026-09-02"
"20381","Bilirubin, Total, Neonatal STAT","Verified current MASTER record","Room Temperature","Room temperature","","Quest MASTER directory verified 2026-09-02"
"22060","Lamotrigine","Verified current MASTER record","Refrigerated","Refrigerated (cold packs)","","Quest MASTER directory verified 2026-09-02"
"23244","Estrone","Verified current MASTER record","Refrigerated","Refrigerated (cold packs)","","Quest MASTER directory verified 2026-09-02"
"30289","Estradiol, Ultrasensitive, LC/MS","Verified current MASTER record","Refrigerated","Refrigerated (cold packs)","","Quest MASTER directory verified 2026-09-02"
"30440","Candida albicans Antibodies (IgG, IgA, IgM)","Verified current MASTER record","Room Temperature","Room temperature","","Quest MASTER directory verified 2026-09-02"
"30551","TSI (Thyroid Stimulating Immunoglobulin) REFRIGERATED","Verified current MASTER record","Refrigerated","Refrigerated (cold packs)","","Quest MASTER directory verified 2026-09-02"
"30740","Sex Hormone Binding Globulin","Verified current MASTER record","Room Temperature","Room temperature","","Quest MASTER directory verified 2026-09-02"
"31348","PSA Free and Total","Verified current MASTER record","Frozen","Frozen • Room temperature acceptable if received within 72 hours","","Quest MASTER directory verified 2026-09-02"
"31493","Pregnenolone, LC/MS","Verified current MASTER record","Frozen","Frozen","","Quest MASTER directory verified 2026-09-02"
"31789","Homocysteine","Verified current MASTER record","Room Temperature","Room temperature","Mark the transport tube specimen type as SERUM.","Quest MASTER directory verified 2026-09-02"
"32499","CBC, Platelet Count, RDW and Differential (REFL)","Verified current MASTER record","Room Temperature","Room temperature","","Quest MASTER directory verified 2026-09-02"
"34128","Varicella IGG IGM","Verified current MASTER record","Room Temperature","Room temperature","","Quest MASTER directory verified 2026-09-02"
"34162","Bilirubin, Direct , Neonatal STAT","Verified current MASTER record","Room Temperature","Room temperature","","Quest MASTER directory verified 2026-09-02"
"34166","Measles Antibodies (IgG, IgM), Diagnostic","Verified current MASTER record","Room Temperature","Room temperature","","Quest MASTER directory verified 2026-09-02"
"34257","Herpes Simplex Virus, Type 1 and 2 DNA, Qualitative, Real-Time PCR","Verified current MASTER record","Refrigerated","Refrigerated (cold packs)","","Quest MASTER directory verified 2026-09-02"
"34329","Listeria Antibody","MASTER record unavailable; verify active code/service area","Not specified","Current Quest MASTER record unavailable; verify active code and local service-area instructions","","Quest MASTER directory unavailable 2026-09-02"
"34429","T3 - Free","Verified current MASTER record","Room Temperature","Room temperature","","Quest MASTER directory verified 2026-09-02"
"34458","IGF Binding Protein-3 (IGFBP-3)","Verified current MASTER record","Room Temperature","Room temperature","","Quest MASTER directory verified 2026-09-02"
"34473","Interleukin-6 (IL-6), Serum","Verified current MASTER record","Frozen","Frozen","","Quest MASTER directory verified 2026-09-02"
"34483","Troponin T (legacy code—verify)","MASTER record unavailable; verify active code/service area","Not specified","Current Quest MASTER record unavailable; verify active code and local service-area instructions","","Quest MASTER directory unavailable 2026-09-02"
"34485","Tumor Necrosis Factor-Alpha, Highly Sensitive","Verified current MASTER record","Frozen","Frozen","","Quest MASTER directory verified 2026-09-02"
"34499","SARS Covid Antibody (IgG) Spike","MASTER record unavailable; verify active code/service area","Not specified","Current Quest MASTER record unavailable; verify active code and local service-area instructions","","Quest MASTER directory unavailable 2026-09-02"
"34604","Lipoprotein A","Verified current MASTER record","Room Temperature","Room temperature","","Quest MASTER directory verified 2026-09-02"
"34879","Methylmalonic Acid (MMA)","Verified current MASTER record","Room Temperature","Room temperature","","Quest MASTER directory verified 2026-09-02"
"34883","Estriol","Verified current MASTER record","Refrigerated","Refrigerated (cold packs)","","Quest MASTER directory verified 2026-09-02"
"34897","Candida Albicans Antibody (IgG) ELISA","Verified current MASTER record","Room Temperature","Room temperature","","Quest MASTER directory verified 2026-09-02"
"35202","PTH, intact, without Calcium","Verified current MASTER record","Refrigerated","Refrigerated (cold packs)","Label the transport tube PLASMA.","Quest MASTER directory verified 2026-09-02"
"36126","RPR with reflex titer and confirmation (diagnosis)","Verified current MASTER record","Room Temperature","Room temperature","","Quest MASTER directory verified 2026-09-02"
"36127","TSH reflex free T4","Verified current MASTER record","Room Temperature","Room temperature","","Quest MASTER directory verified 2026-09-02"
"36170","Testosterone, Free and Total","Verified current MASTER record","Room Temperature","Room temperature","","Quest MASTER directory verified 2026-09-02"
"36336","Celiac Disease Comprehensive Panel with Gliadin Antibody (IgG)","Verified current MASTER record","Room Temperature","Room temperature","","Quest MASTER directory verified 2026-09-02"
"36378","Analyzer ANA with reflex panel","Verified current MASTER record","Refrigerated","Refrigerated (cold packs)","","Quest MASTER directory verified 2026-09-02"
"36562","Cryoglobulin (% Cryocrit), Serum — Do Not Collect Onsite","Verified current MASTER record","Room Temperature","Room temperature","","Quest MASTER directory verified 2026-09-02"
"36577","TSH antibody","Verified current MASTER record","Room Temperature","Room temperature","","Quest MASTER directory verified 2026-09-02"
"36586","Histamine","Verified current MASTER record","Frozen","Frozen","","Quest MASTER directory verified 2026-09-02"
"36970","QuantiFERON-TB Gold Plus, 1 Tube","Verified current MASTER record","Refrigerated","Refrigerated (cold packs)","","Quest MASTER directory verified 2026-09-02"
"37077","Cortisol Free and Total","Verified current MASTER record","Refrigerated","Refrigerated (cold packs)","","Quest MASTER directory verified 2026-09-02"
"37227","Anti-Mullerian Hormone (AMH), Female","Verified current MASTER record","Refrigerated","Refrigerated (cold packs)","","Quest MASTER directory verified 2026-09-02"
"37386","BNP","Verified current MASTER record","Frozen","Frozen","","Quest MASTER directory verified 2026-09-02"
"37847","Lipoprotein Fractionation, NMR","Verified current MASTER record","Refrigerated","Refrigerated (cold packs)","Label the transport tube “No Additive Serum Red”.","Quest MASTER directory verified 2026-09-02"
"37849","Lipoprotein Fractionation, NMR with Lipid Panel (Triglycerides/HDL-C)","Verified current MASTER record","Refrigerated","Refrigerated (cold packs)","Label the transport tube “No Additive Serum Red”.","Quest MASTER directory verified 2026-09-02"
"37859","Complement Component C3, C4, CH50","Verified current MASTER record","Frozen","Frozen","","Quest MASTER directory verified 2026-09-02"
"38683","TRAb (TSH Receptor Binding Antibody)","Verified current MASTER record","Room Temperature","Room temperature","","Quest MASTER directory verified 2026-09-02"
"39416","Drug Monitoring, Panel 1, Screen, Urine","Verified current MASTER record","Room Temperature","Room temperature","","Quest MASTER directory verified 2026-09-02"
"39733","Lyme Disease Antibody with Reflex to Immunoassay (IgG, IgM)","Verified current MASTER record","Room Temperature","Room temperature","","Quest MASTER directory verified 2026-09-02"
"39749","SARS Covid Antibody (IgG) Nucleocapsid","MASTER record unavailable; verify active code/service area","Not specified","Current Quest MASTER record unavailable; verify active code and local service-area instructions","","Quest MASTER directory unavailable 2026-09-02"
"58984","TSH and Free T4","Verified current MASTER record","Room Temperature","Room temperature","","Quest MASTER directory verified 2026-09-02"
