test_code,test_name,specimen_type,draw_container,transport_container,temperature,preferred_volume,minimum_volume,verification_basis,source_url,notes
29256,CA 125,Serum,SST / Gold,SST / Gold (spun),Room Temperature,1 mL serum,0.5 mL,Exact/current public Quest listing,https://testdirectory.questdiagnostics.com/test/test-detail/29256/?cc=MASTER,Allow SST to clot and centrifuge. Submit the spun SST at room temperature.
17717,CA 125 with HAMA Treatment,Serum,SST / Gold,Transport tube,Room Temperature,2 mL serum,1 mL,Exact/current public Quest listing,https://testdirectory.questdiagnostics.com/test/test-detail/17717/?cc=MASTER,"Allow blood to clot, centrifuge, and transfer serum to a transport tube. Ship at room temperature."
5819,CA 15-3,Serum,SST / Gold,SST / Gold (spun),Room Temperature,1 mL serum,0.5 mL,Exact/current public Quest listing,https://testdirectory.questdiagnostics.com/test/test-detail/5819/?cc=MASTER,"Allow SST to clot, centrifuge, and submit the spun SST."
29493,CA 27.29,Serum,SST / Gold,SST / Gold (spun),Room Temperature,1 mL serum,0.5 mL,Exact/current public Quest listing,https://testdirectory.questdiagnostics.com/test/test-detail/29493/?cc=MASTER,"Allow SST to clot, centrifuge, and submit the spun SST."
299,"Cadmium, Blood",Whole Blood,Royal Blue EDTA (purple stripe),"Royal Blue EDTA (purple stripe, original tube)",Refrigerated,4 mL whole blood,2 mL,Exact/current public Quest listing,https://testdirectory.questdiagnostics.com/test/test-detail/299/?cc=MASTER,Collect whole blood in a trace-metal-free Royal Blue EDTA tube (purple stripe). Mix gently and submit the original tube refrigerated. Do not transfer into a non-trace-metal container.
305,Caffeine,Serum,Red Top,Transport tube,Room Temperature,1 mL serum,0.2 mL,Exact/current public Quest listing,https://testdirectory.questdiagnostics.com/test/test-detail/305/?cc=MASTER,"Collect a trough specimen before the next dose when monitoring therapy. Use a Red Top without gel, allow to clot, centrifuge, and transfer serum. SST/gel is not acceptable for this workflow."
30742,Calcitonin,Serum,Red Top,Transport tube,Frozen,1 mL serum,0.5 mL,Exact/current public Quest listing,https://testdirectory.questdiagnostics.com/test/test-detail/30742/?cc=MASTER,"Overnight fasting is preferred. Collect serum, centrifuge, separate promptly into a transport tube, freeze immediately, and ship frozen."
20907,"Calcium, Total, RBC",RBC,Green Sodium Heparin,Trace-element and metal-free RBC transport tube,Refrigerated,2 mL RBCs,0.7 mL,Exact/current public Quest listing,https://testdirectory.questdiagnostics.com/test/test-detail/20907/?cc=MASTER,"Collect in Green Sodium Heparin, centrifuge, separate RBCs from plasma within 2 hours, and transfer RBCs into a trace-element/metal-free RBC transport tube. Refrigerate."
37310,"California Encephalitis Virus Antibody Panel, IFA, Serum",Serum,Red Top,Transport tube,Room Temperature,1 mL serum,0.1 mL,Exact/current public Quest listing,https://testdirectory.questdiagnostics.com/test/test-detail/37310/?cc=MASTER,"Collect serum, allow to clot, centrifuge, and transfer to a transport tube. Ship at room temperature."
449,Nonesterified Fatty Acids (Free Fatty Acids),Serum,Red Top,Transport tube,Frozen,1 mL serum,0.3 mL,Exact/current public Quest listing,https://testdirectory.questdiagnostics.com/test/test-detail/449/?cc=MASTER,"Overnight fasting is preferred. Remove serum from cells immediately after collection, transfer to a transport tube, and freeze. EDTA, light-blue citrate, ACD-B, or trace-metal no-additive serum may also be acceptable; heparin plasma is rejected."
19595,Hypoglycemic Panel,Serum,Red Top,Transport tube,Refrigerated,1 mL serum,0.3 mL,Exact/current public Quest listing,https://testdirectory.questdiagnostics.com/test/test-detail/19595/?cc=MASTER,"Collect in Red Top without gel, allow to clot, centrifuge promptly, transfer serum to a transport tube, and refrigerate. SST/gel is not acceptable for this workflow."
17900,Factor V (Leiden) Mutation Analysis,Whole Blood,Lavender EDTA,Lavender EDTA,Room Temperature,4 mL whole blood,3 mL,Exact/current public Quest listing,https://testdirectory.questdiagnostics.com/test/test-detail/17900/?cc=MASTER,"Collect whole blood in Lavender EDTA and submit the original tube. Royal Blue EDTA, Green Sodium Heparin, Yellow ACD-B, and Green Lithium Heparin are also acceptable alternatives."
19114,"Comprehensive Metabolic Panel without CO2, ALT and eGFR",Serum,SST / Gold,SST / Gold (spun),Room Temperature,2 mL serum,1 mL,Exact/current public Quest listing,https://testdirectory.questdiagnostics.com/test/test-detail/19114/?cc=MASTER,Fasting specimen is preferred. Allow SST to clot and centrifuge; submit the spun SST.
19110,Comprehensive Metabolic Panel without eGFR,Serum,SST / Gold,SST / Gold (spun),Room Temperature,2 mL serum,1 mL,Exact/current public Quest listing,https://testdirectory.questdiagnostics.com/test/test-detail/19110/?cc=MASTER,Fasting specimen is preferred. Allow SST to clot and centrifuge; submit the spun SST.
59166,BasoFunction HRT Tetracycline,Whole Blood,Green Sodium Heparin,Green Sodium Heparin (original tube),Room Temperature,8–10 mL whole blood,8 mL,Exact/current public Quest listing,https://testdirectory.questdiagnostics.com/test/test-detail/59166/?cc=MASTER,Collect only in Green Sodium Heparin and submit the original tube at room temperature. This assay has restricted collection/setup timing; verify the current Quest schedule before drawing. Lithium heparin is not acceptable.
8331,"Titanium, Serum/Plasma",Serum,Royal Blue No Additive (red stripe),Acid-washed / metal-free serum transport tube,Room Temperature,2 mL serum,0.6 mL,Exact/current public Quest listing,https://testdirectory.questdiagnostics.com/test/test-detail/8331/?cc=MASTER,Preferred: collect serum in a trace-metal-free Royal Blue No Additive tube (red stripe). Promptly centrifuge and transfer serum into an acid-washed/metal-free transport tube. Trace-metal-free Royal Blue EDTA plasma is acceptable. Reject SST/PST gel.
4953,Alpha-2-Antiplasmin,Platelet-poor plasma,Light Blue Citrate,Transport tube,Frozen,1 mL plasma,Verify current Quest minimum,Exact/current public Quest listing,https://testdirectory.questdiagnostics.com/test/test-detail/4953/?cc=MASTER,"Draw a full 3.2% sodium citrate light-blue tube, prepare platelet-poor plasma according to the Quest coagulation workflow, transfer to a plastic transport tube, freeze, and ship frozen."
414,Heparin-Induced Platelet Antibody,Serum,Red Top,Transport tube,Frozen,1 mL serum,0.5 mL,Exact/current public Quest listing,https://testdirectory.questdiagnostics.com/test/test-detail/414/?cc=MASTER,"Collect in a Red Top without gel, allow to clot, centrifuge, transfer serum to a transport tube, and freeze. Ship frozen."
15334,"Heparin-Induced Platelet Antibody with Reflex to SRA, Unfractionated Heparin",Serum,Red Top,2 separate transport tubes,Frozen,2 x 1 mL serum,2 x 0.5 mL,Exact/current public Quest listing,https://testdirectory.questdiagnostics.com/test/test-detail/15334/?cc=MASTER,Collect serum in Red Top tube(s) without gel. Centrifuge and submit two separate frozen serum aliquots. Ship frozen.
14874,Heparin-Induced Thrombocytopenia Panel,Serum,Red Top,2 separate transport tubes,Frozen,2 x 1 mL serum,2 x 0.9 mL,Exact/current public Quest listing,https://testdirectory.questdiagnostics.com/test/test-detail/14874/?cc=MASTER,Collect serum in Red Top tube(s) without gel. Centrifuge and submit two separate frozen serum aliquots. Ship frozen.
10707,Human Platelet Antigen 1 Genotype,Whole Blood,Lavender EDTA,Lavender EDTA,Room Temperature,5 mL whole blood,1 mL,Exact/current public Quest listing,https://testdirectory.questdiagnostics.com/test/test-detail/10707/?cc=MASTER,Collect whole blood in Lavender EDTA and submit the original tube at room temperature.
11484,"Platelet Antibody Screen, Serum",Serum,Red Top,Transport tube,Frozen,1.5 mL serum,0.5 mL,Exact/current public Quest listing,https://testdirectory.questdiagnostics.com/test/test-detail/11484/?cc=MASTER,"Collect in Red Top without gel, allow to clot, centrifuge, transfer serum to a transport tube, and freeze. Ship frozen."
11361,"Chlamydia trachomatis RNA, TMA, Urogenital",Swab,Aptima Multitest Transport Tube (orange label),Aptima,Room Temperature,1 vaginal swab,1 swab,Exact/current public Quest listing,https://testdirectory.questdiagnostics.com/test/test-detail/11361/?cc=MASTER,"Preferred clinic workflow: collect a vaginal swab using the Aptima Multitest Collection Kit (orange label), place swab into the Aptima tube, break at the score line, and cap tightly. Quest also accepts appropriate endocervical/urethral Aptima swabs or first-catch urine transferred to an Aptima urine transport tube. Do not use liquid-cytology specimens for this calculator workflow."
16505,"Chlamydia trachomatis RNA, TMA, Rectal",Swab,Aptima Multitest Transport Tube (orange label),Aptima,Room Temperature,1 rectal swab,1 rectal swab,Exact/current public Quest listing,https://testdirectory.questdiagnostics.com/test/test-detail/16505/?cc=MASTER,"Collect a rectal swab using the Aptima Multitest Collection Kit (orange label). Insert swab into the Aptima tube, break at the score line, cap tightly, and submit at room temperature."
16506,"Chlamydia trachomatis/Neisseria gonorrhoeae RNA, TMA, Rectal",Swab,Aptima Multitest Transport Tube (orange label),Aptima,Room Temperature,1 rectal swab,1 rectal swab,Exact/current public Quest listing,https://testdirectory.questdiagnostics.com/test/test-detail/16506/?cc=MASTER,"Collect a rectal swab using the Aptima Multitest Collection Kit (orange label). Insert swab into the Aptima tube, break at the score line, cap tightly, and submit at room temperature."
70051,"Chlamydia trachomatis/Neisseria gonorrhoeae RNA, TMA, Throat",Swab,Aptima Multitest Transport Tube (orange label),Aptima,Room Temperature,1 throat swab,1 throat swab,Exact/current public Quest listing,https://testdirectory.questdiagnostics.com/test/test-detail/70051/?cc=MASTER,"Collect a throat swab using the Aptima Multitest Collection Kit (orange label). Swab the tonsillar pillars/posterior pharynx without touching other oral surfaces, place into the Aptima tube, break at the score line, and cap tightly."
13717,Bay Leaf IgE,Serum,SST / Gold,SST / Gold (spun),Room Temperature,1 mL serum,0.5 mL,Quest/Nichols order code + compatible serum allergen workflow,https://testdirectory.questdiagnostics.com/test/test-detail/13717/?cc=MASTER,"Allow SST to clot and centrifuge; submit the spun SST. This is a Quest serum allergen workflow. If Quest routes the order to a different performing laboratory/service area, verify the current minimum volume and stability before collection."
37454,American Cockroach (i206) IgE,Serum,SST / Gold,SST / Gold (spun),Room Temperature,0.3 mL serum,0.15 mL,Quest/Nichols order code + compatible serum allergen workflow,https://testdirectory.questdiagnostics.com/test/test-detail/37454/?cc=MASTER,"Allow SST to clot and centrifuge; submit the spun SST. This is a Quest serum allergen workflow. If Quest routes the order to a different performing laboratory/service area, verify the current minimum volume and stability before collection."
94464,Brazil Nut (f18) IgE with Reflex to Component,Serum,SST / Gold,SST / Gold (spun),Room Temperature,0.5 mL serum,0.3 mL,Quest/Nichols order code + compatible serum allergen workflow,https://testdirectory.questdiagnostics.com/test/test-detail/94464/?cc=MASTER,"Allow SST to clot and centrifuge; submit the spun SST. This is a Quest serum allergen workflow. If Quest routes the order to a different performing laboratory/service area, verify the current minimum volume and stability before collection."
94469,Brazil Nut Component,Serum,SST / Gold,SST / Gold (spun),Room Temperature,0.5 mL serum,0.3 mL,Quest/Nichols order code + compatible serum allergen workflow,https://testdirectory.questdiagnostics.com/test/test-detail/94469/?cc=MASTER,"Allow SST to clot and centrifuge; submit the spun SST. This is a Quest serum allergen workflow. If Quest routes the order to a different performing laboratory/service area, verify the current minimum volume and stability before collection."
2632,Cabbage (f216) IgE,Serum,SST / Gold,SST / Gold (spun),Room Temperature,0.3 mL serum,0.15 mL,Quest/Nichols order code + compatible serum allergen workflow,https://testdirectory.questdiagnostics.com/test/test-detail/2632/?cc=MASTER,"Allow SST to clot and centrifuge; submit the spun SST. This is a Quest serum allergen workflow. If Quest routes the order to a different performing laboratory/service area, verify the current minimum volume and stability before collection."
2542,Canary Bird Feathers IgE,Serum,SST / Gold,SST / Gold (spun),Room Temperature,0.3 mL serum,0.15 mL,Quest/Nichols order code + compatible serum allergen workflow,https://testdirectory.questdiagnostics.com/test/test-detail/2542/?cc=MASTER,"Allow SST to clot and centrifuge; submit the spun SST. This is a Quest serum allergen workflow. If Quest routes the order to a different performing laboratory/service area, verify the current minimum volume and stability before collection."
2371,Canary Grass IgE,Serum,SST / Gold,SST / Gold (spun),Room Temperature,0.3 mL serum,0.15 mL,Quest/Nichols order code + compatible serum allergen workflow,https://testdirectory.questdiagnostics.com/test/test-detail/2371/?cc=MASTER,"Allow SST to clot and centrifuge; submit the spun SST. This is a Quest serum allergen workflow. If Quest routes the order to a different performing laboratory/service area, verify the current minimum volume and stability before collection."
2705,Candida albicans IgE,Serum,SST / Gold,SST / Gold (spun),Room Temperature,0.3 mL serum,0.15 mL,Quest/Nichols order code + compatible serum allergen workflow,https://testdirectory.questdiagnostics.com/test/test-detail/2705/?cc=MASTER,"Allow SST to clot and centrifuge; submit the spun SST. This is a Quest serum allergen workflow. If Quest routes the order to a different performing laboratory/service area, verify the current minimum volume and stability before collection."
2633,Caraway IgE,Serum,SST / Gold,SST / Gold (spun),Room Temperature,0.3 mL serum,0.15 mL,Quest/Nichols order code + compatible serum allergen workflow,https://testdirectory.questdiagnostics.com/test/test-detail/2633/?cc=MASTER,"Allow SST to clot and centrifuge; submit the spun SST. This is a Quest serum allergen workflow. If Quest routes the order to a different performing laboratory/service area, verify the current minimum volume and stability before collection."
30767,Careless Weed IgE,Serum,SST / Gold,SST / Gold (spun),Room Temperature,0.3 mL serum,0.15 mL,Quest/Nichols order code + compatible serum allergen workflow,https://testdirectory.questdiagnostics.com/test/test-detail/30767/?cc=MASTER,"Allow SST to clot and centrifuge; submit the spun SST. This is a Quest serum allergen workflow. If Quest routes the order to a different performing laboratory/service area, verify the current minimum volume and stability before collection."
2634,Carob IgE,Serum,SST / Gold,SST / Gold (spun),Room Temperature,0.3 mL serum,0.15 mL,Quest/Nichols order code + compatible serum allergen workflow,https://testdirectory.questdiagnostics.com/test/test-detail/2634/?cc=MASTER,"Allow SST to clot and centrifuge; submit the spun SST. This is a Quest serum allergen workflow. If Quest routes the order to a different performing laboratory/service area, verify the current minimum volume and stability before collection."
2831,Carrot IgE,Serum,SST / Gold,SST / Gold (spun),Room Temperature,0.3 mL serum,0.15 mL,Quest/Nichols order code + compatible serum allergen workflow,https://testdirectory.questdiagnostics.com/test/test-detail/2831/?cc=MASTER,"Allow SST to clot and centrifuge; submit the spun SST. This is a Quest serum allergen workflow. If Quest routes the order to a different performing laboratory/service area, verify the current minimum volume and stability before collection."
2853,Casein IgE,Serum,SST / Gold,SST / Gold (spun),Room Temperature,0.3 mL serum,0.15 mL,Quest/Nichols order code + compatible serum allergen workflow,https://testdirectory.questdiagnostics.com/test/test-detail/2853/?cc=MASTER,"Allow SST to clot and centrifuge; submit the spun SST. This is a Quest serum allergen workflow. If Quest routes the order to a different performing laboratory/service area, verify the current minimum volume and stability before collection."
2608,Cashew Nut IgE,Serum,SST / Gold,SST / Gold (spun),Room Temperature,0.3 mL serum,0.15 mL,Quest/Nichols order code + compatible serum allergen workflow,https://testdirectory.questdiagnostics.com/test/test-detail/2608/?cc=MASTER,"Allow SST to clot and centrifuge; submit the spun SST. This is a Quest serum allergen workflow. If Quest routes the order to a different performing laboratory/service area, verify the current minimum volume and stability before collection."
2601,Cat Dander IgE,Serum,SST / Gold,SST / Gold (spun),Room Temperature,0.3 mL serum,0.15 mL,Quest/Nichols order code + compatible serum allergen workflow,https://testdirectory.questdiagnostics.com/test/test-detail/2601/?cc=MASTER,"Allow SST to clot and centrifuge; submit the spun SST. This is a Quest serum allergen workflow. If Quest routes the order to a different performing laboratory/service area, verify the current minimum volume and stability before collection."
38267,Catfish IgE,Serum,SST / Gold,SST / Gold (spun),Room Temperature,0.3 mL serum,0.15 mL,Quest/Nichols order code + compatible serum allergen workflow,https://testdirectory.questdiagnostics.com/test/test-detail/38267/?cc=MASTER,"Allow SST to clot and centrifuge; submit the spun SST. This is a Quest serum allergen workflow. If Quest routes the order to a different performing laboratory/service area, verify the current minimum volume and stability before collection."
2635,Cauliflower IgE,Serum,SST / Gold,SST / Gold (spun),Room Temperature,0.3 mL serum,0.15 mL,Quest/Nichols order code + compatible serum allergen workflow,https://testdirectory.questdiagnostics.com/test/test-detail/2635/?cc=MASTER,"Allow SST to clot and centrifuge; submit the spun SST. This is a Quest serum allergen workflow. If Quest routes the order to a different performing laboratory/service area, verify the current minimum volume and stability before collection."
17572,Cedar IgE,Serum,SST / Gold,SST / Gold (spun),Room Temperature,0.3 mL serum,0.15 mL,Quest/Nichols order code + compatible serum allergen workflow,https://testdirectory.questdiagnostics.com/test/test-detail/17572/?cc=MASTER,"Allow SST to clot and centrifuge; submit the spun SST. This is a Quest serum allergen workflow. If Quest routes the order to a different performing laboratory/service area, verify the current minimum volume and stability before collection."
2860,Celery IgE,Serum,SST / Gold,SST / Gold (spun),Room Temperature,0.3 mL serum,0.15 mL,Quest/Nichols order code + compatible serum allergen workflow,https://testdirectory.questdiagnostics.com/test/test-detail/2860/?cc=MASTER,"Allow SST to clot and centrifuge; submit the spun SST. This is a Quest serum allergen workflow. If Quest routes the order to a different performing laboratory/service area, verify the current minimum volume and stability before collection."
3415,Chaetomium globosum IgE,Serum,SST / Gold,SST / Gold (spun),Room Temperature,0.3 mL serum,0.15 mL,Quest/Nichols order code + compatible serum allergen workflow,https://testdirectory.questdiagnostics.com/test/test-detail/3415/?cc=MASTER,"Allow SST to clot and centrifuge; submit the spun SST. This is a Quest serum allergen workflow. If Quest routes the order to a different performing laboratory/service area, verify the current minimum volume and stability before collection."
2858,Cheddar Cheese IgE,Serum,SST / Gold,SST / Gold (spun),Room Temperature,0.3 mL serum,0.15 mL,Quest/Nichols order code + compatible serum allergen workflow,https://testdirectory.questdiagnostics.com/test/test-detail/2858/?cc=MASTER,"Allow SST to clot and centrifuge; submit the spun SST. This is a Quest serum allergen workflow. If Quest routes the order to a different performing laboratory/service area, verify the current minimum volume and stability before collection."
2859,Cheese Mold IgE,Serum,SST / Gold,SST / Gold (spun),Room Temperature,0.3 mL serum,0.15 mL,Quest/Nichols order code + compatible serum allergen workflow,https://testdirectory.questdiagnostics.com/test/test-detail/2859/?cc=MASTER,"Allow SST to clot and centrifuge; submit the spun SST. This is a Quest serum allergen workflow. If Quest routes the order to a different performing laboratory/service area, verify the current minimum volume and stability before collection."
2609,Cherry IgE,Serum,SST / Gold,SST / Gold (spun),Room Temperature,0.3 mL serum,0.15 mL,Quest/Nichols order code + compatible serum allergen workflow,https://testdirectory.questdiagnostics.com/test/test-detail/2609/?cc=MASTER,"Allow SST to clot and centrifuge; submit the spun SST. This is a Quest serum allergen workflow. If Quest routes the order to a different performing laboratory/service area, verify the current minimum volume and stability before collection."
2636,Chestnut (Sweet) IgE,Serum,SST / Gold,SST / Gold (spun),Room Temperature,0.3 mL serum,0.15 mL,Quest/Nichols order code + compatible serum allergen workflow,https://testdirectory.questdiagnostics.com/test/test-detail/2636/?cc=MASTER,"Allow SST to clot and centrifuge; submit the spun SST. This is a Quest serum allergen workflow. If Quest routes the order to a different performing laboratory/service area, verify the current minimum volume and stability before collection."
3417,Chestnut Tree IgE,Serum,SST / Gold,SST / Gold (spun),Room Temperature,0.3 mL serum,0.15 mL,Quest/Nichols order code + compatible serum allergen workflow,https://testdirectory.questdiagnostics.com/test/test-detail/3417/?cc=MASTER,"Allow SST to clot and centrifuge; submit the spun SST. This is a Quest serum allergen workflow. If Quest routes the order to a different performing laboratory/service area, verify the current minimum volume and stability before collection."
38958,Chick Pea IgE,Serum,SST / Gold,SST / Gold (spun),Room Temperature,0.3 mL serum,0.15 mL,Quest/Nichols order code + compatible serum allergen workflow,https://testdirectory.questdiagnostics.com/test/test-detail/38958/?cc=MASTER,"Allow SST to clot and centrifuge; submit the spun SST. This is a Quest serum allergen workflow. If Quest routes the order to a different performing laboratory/service area, verify the current minimum volume and stability before collection."
2651,Chicken Feathers IgE,Serum,SST / Gold,SST / Gold (spun),Room Temperature,0.3 mL serum,0.15 mL,Quest/Nichols order code + compatible serum allergen workflow,https://testdirectory.questdiagnostics.com/test/test-detail/2651/?cc=MASTER,"Allow SST to clot and centrifuge; submit the spun SST. This is a Quest serum allergen workflow. If Quest routes the order to a different performing laboratory/service area, verify the current minimum volume and stability before collection."
2857,Chicken Meat IgE,Serum,SST / Gold,SST / Gold (spun),Room Temperature,0.3 mL serum,0.15 mL,Quest/Nichols order code + compatible serum allergen workflow,https://testdirectory.questdiagnostics.com/test/test-detail/2857/?cc=MASTER,"Allow SST to clot and centrifuge; submit the spun SST. This is a Quest serum allergen workflow. If Quest routes the order to a different performing laboratory/service area, verify the current minimum volume and stability before collection."
2550,Chub Mackerel IgE,Serum,SST / Gold,SST / Gold (spun),Room Temperature,0.3 mL serum,0.15 mL,Quest/Nichols order code + compatible serum allergen workflow,https://testdirectory.questdiagnostics.com/test/test-detail/2550/?cc=MASTER,"Allow SST to clot and centrifuge; submit the spun SST. This is a Quest serum allergen workflow. If Quest routes the order to a different performing laboratory/service area, verify the current minimum volume and stability before collection."
2637,Cinnamon IgE,Serum,SST / Gold,SST / Gold (spun),Room Temperature,0.3 mL serum,0.15 mL,Quest/Nichols order code + compatible serum allergen workflow,https://testdirectory.questdiagnostics.com/test/test-detail/2637/?cc=MASTER,"Allow SST to clot and centrifuge; submit the spun SST. This is a Quest serum allergen workflow. If Quest routes the order to a different performing laboratory/service area, verify the current minimum volume and stability before collection."
2702,Cladosporium herbarum IgE,Serum,SST / Gold,SST / Gold (spun),Room Temperature,0.3 mL serum,0.15 mL,Quest/Nichols order code + compatible serum allergen workflow,https://testdirectory.questdiagnostics.com/test/test-detail/2702/?cc=MASTER,"Allow SST to clot and centrifuge; submit the spun SST. This is a Quest serum allergen workflow. If Quest routes the order to a different performing laboratory/service area, verify the current minimum volume and stability before collection."
8929,Clam IgE,Serum,SST / Gold,SST / Gold (spun),Room Temperature,0.3 mL serum,0.15 mL,Quest/Nichols order code + compatible serum allergen workflow,https://testdirectory.questdiagnostics.com/test/test-detail/8929/?cc=MASTER,"Allow SST to clot and centrifuge; submit the spun SST. This is a Quest serum allergen workflow. If Quest routes the order to a different performing laboratory/service area, verify the current minimum volume and stability before collection."
2638,Clove IgE,Serum,SST / Gold,SST / Gold (spun),Room Temperature,0.3 mL serum,0.15 mL,Quest/Nichols order code + compatible serum allergen workflow,https://testdirectory.questdiagnostics.com/test/test-detail/2638/?cc=MASTER,"Allow SST to clot and centrifuge; submit the spun SST. This is a Quest serum allergen workflow. If Quest routes the order to a different performing laboratory/service area, verify the current minimum volume and stability before collection."
10625,Cochineal Extract IgE,Serum,SST / Gold,SST / Gold (spun),Room Temperature,0.3 mL serum,0.15 mL,Quest/Nichols order code + compatible serum allergen workflow,https://testdirectory.questdiagnostics.com/test/test-detail/10625/?cc=MASTER,"Allow SST to clot and centrifuge; submit the spun SST. This is a Quest serum allergen workflow. If Quest routes the order to a different performing laboratory/service area, verify the current minimum volume and stability before collection."
2413,Cocklebur IgE,Serum,SST / Gold,SST / Gold (spun),Room Temperature,0.3 mL serum,0.15 mL,Quest/Nichols order code + compatible serum allergen workflow,https://testdirectory.questdiagnostics.com/test/test-detail/2413/?cc=MASTER,"Allow SST to clot and centrifuge; submit the spun SST. This is a Quest serum allergen workflow. If Quest routes the order to a different performing laboratory/service area, verify the current minimum volume and stability before collection."
2736,Cockroach IgE,Serum,SST / Gold,SST / Gold (spun),Room Temperature,0.3 mL serum,0.15 mL,Quest/Nichols order code + compatible serum allergen workflow,https://testdirectory.questdiagnostics.com/test/test-detail/2736/?cc=MASTER,"Allow SST to clot and centrifuge; submit the spun SST. This is a Quest serum allergen workflow. If Quest routes the order to a different performing laboratory/service area, verify the current minimum volume and stability before collection."
2875,Cocoa IgE,Serum,SST / Gold,SST / Gold (spun),Room Temperature,0.3 mL serum,0.15 mL,Quest/Nichols order code + compatible serum allergen workflow,https://testdirectory.questdiagnostics.com/test/test-detail/2875/?cc=MASTER,"Allow SST to clot and centrifuge; submit the spun SST. This is a Quest serum allergen workflow. If Quest routes the order to a different performing laboratory/service area, verify the current minimum volume and stability before collection."
2836,Coconut IgE,Serum,SST / Gold,SST / Gold (spun),Room Temperature,0.3 mL serum,0.15 mL,Quest/Nichols order code + compatible serum allergen workflow,https://testdirectory.questdiagnostics.com/test/test-detail/2836/?cc=MASTER,"Allow SST to clot and centrifuge; submit the spun SST. This is a Quest serum allergen workflow. If Quest routes the order to a different performing laboratory/service area, verify the current minimum volume and stability before collection."
